age[d] married[d] children[d]
50         1         1           0
40         1         1           0
20         0         0           1
30         0         0           1
80         0         0           1
10         0         0           1
25         1         1           0
20         1         1           0
21         0         0           1
31         0         0           1
81         0         0           1
50         1         1           0
40         1         1           0
20         0         0           1
30         0         0           1
80         0         0           1
10         0         0           1
25         1         1           0
20         1         1           0
21         0         0           1
31         0         0           1
81         0         0           1
50         1         1           0
40         1         1           0
20         0         0           1
30         0         0           1
80         0         0           1
10         0         0           1
25         1         1           0
20         1         1           0
21         0         0           1
31         0         0           1
81         0         0           1
50         1         1           0
40         1         1           0
20         0         0           1
30         0         0           1
80         0         0           1
10         0         0           1
25         1         1           0
20         1         1           0
21         0         0           1
31         0         0           1
81         0         0           1
50         1         1           0
40         1         1           0
20         0         0           1
30         0         0           1
80         0         0           1
10         0         0           1
25         1         1           0
20         1         1           0
21         0         0           1
31         0         0           1
81         0         0           1
50         1         1           0
40         1         1           0
20         0         0           1
30         0         0           1
80         0         0           1
10         0         0           1
25         1         1           0
20         1         1           0
21         0         0           1
31         0         0           1
81         0         0           1
50         1         1           0
40         1         1           0
20         0         0           1
30         0         0           1
80         0         0           1
10         0         0           1
25         1         1           0
20         1         1           0
21         0         0           1
31         0         0           1
81         0         0           1
50         1         1           0
40         1         1           0
20         0         0           1
30         0         0           1
80         0         0           1
10         0         0           1
25         1         1           0
20         1         1           0
21         0         0           1
31         0         0           1
81         0         0           1
50         1         1           0
40         1         1           0
20         0         0           1
30         0         0           1
80         0         0           1
10         0         0           1
25         1         1           0
20         1         1           0
21         0         0           1
31         0         0           1
81         0         0           1
50         1         1           0
40         1         1           0
20         0         0           1
30         0         0           1
80         0         0           1
10         0         0           1
25         1         1           0
20         1         1           0
21         0         0           1
31         0         0           1
81         0         0           1
50         1         1           0
40         1         1           0
20         0         0           1
30         0         0           1
80         0         0           1
10         0         0           1
25         1         1           0
20         1         1           0
21         0         0           1
31         0         0           1
81         0         0           1
50         1         1           0
40         1         1           0
20         0         0           1
30         0         0           1
80         0         0           1
10         0         0           1
25         1         1           0
20         1         1           0
21         0         0           1
31         0         0           1
81         0         0           1
50         1         1           0
40         1         1           0
20         0         0           1
30         0         0           1
80         0         0           1
10         0         0           1
25         1         1           0
20         1         1           0
21         0         0           1
31         0         0           1
81         0         0           1
50         1         1           0
40         1         1           0
20         0         0           1
30         0         0           1
80         0         0           1
10         0         0           1
25         1         1           0
20         1         1           0
21         0         0           1
31         0         0           1
81         0         0           1
50         1         1           0
40         1         1           0
20         0         0           1
30         0         0           1
80         0         0           1
10         0         0           1
25         1         1           0
20         1         1           0
21         0         0           1
31         0         0           1
81         0         0           1
50         1         1           0
40         1         1           0
20         0         0           1
30         0         0           1
80         0         0           1
10         0         0           1
25         1         1           0
20         1         1           0
21         0         0           1
31         0         0           1
81         0         0           1
50         1         1           0
40         1         1           0
20         0         0           1
30         0         0           1
80         0         0           1
10         0         0           1
25         1         1           0
20         1         1           0
21         0         0           1
31         0         0           1
81         0         0           1
50         1         1           0
40         1         1           0
20         0         0           1
30         0         0           1
80         0         0           1
10         0         0           1
25         1         1           0
20         1         1           0
21         0         0           1
31         0         0           1
81         0         0           1
